asset_id,asset_name,asset_type,owner,department,criticality,operating_system
AST001,HR-PC-01,Workstation,John,HR,Medium,Windows 11
AST002,Finance-PC-02,Workstation,Priya,Finance,Medium,Windows 11
AST003,WebServer,Server,IT Team,IT,Critical,Linux
AST004,Database-01,Server,IT Team,IT,Critical,Linux
AST005,Firewall,Network Device,IT Team,IT,Critical,
AST006,LEG-CLD-001,Cloud Instance,Sarah,Legal,High,Linux
AST007,FIN-MOB-001,Mobile Device,Lucy,Finance,Low,Android
AST008,HR-IOT-001,IoT Device,Sarah,HR,Low,N/A
AST009,FIN-LAP-001,Laptop,Sofia,Finance,Medium,Windows 10
AST010,FIN-SRV-001,Server,Tariq,Finance,Critical,Linux
AST011,FIN-CLD-001,Cloud Instance,Tariq,Finance,High,Linux
AST012,ENG-WKS-001,Workstation,Sarah,Engineering,Medium,Windows 10
AST013,OPS-MOB-001,Mobile Device,Fatima,Operations,Low,iOS
AST014,IT-SRV-001,Server,Grace,IT,Critical,Windows Server 2022
AST015,IT-WKS-001,Workstation,Lucy,IT,Medium,Windows 10
AST016,FIN-SRV-002,Server,Tariq,Finance,Critical,Linux
AST017,HR-SRV-001,Server,Grace,HR,Critical,Windows Server 2022
AST018,ENG-MOB-001,Mobile Device,Tariq,Engineering,Low,iOS
AST019,SUP-LAP-001,Laptop,Emma,Support,Medium,Windows 10
AST020,SALES-WKS-001,Workstation,Ivan,Sales,Medium,Windows 11
AST021,SUP-MOB-001,Mobile Device,Nina,Support,Low,iOS
AST022,FIN-WKS-001,Workstation,Emma,Finance,Medium,Windows 11
AST023,LEG-WKS-001,Workstation,Fatima,Legal,Medium,Windows 11
AST024,HR-CLD-001,Cloud Instance,Grace,HR,High,Linux
AST025,LEG-LAP-001,Laptop,Elena,Legal,Medium,Windows 11
AST026,SUP-SRV-001,Server,Priya,Support,Critical,Windows Server 2022
AST027,FIN-CLD-002,Cloud Instance,Priya,Finance,High,Linux
AST028,HR-NET-001,Network Device,Tariq,HR,Critical,N/A
AST029,SUP-WKS-001,Workstation,Lucy,Support,Medium,Windows 11
